Description,Include,Type,Material,Line width,Query
Evergreen broadleaf landcover,yes,area,EvergreenBroadCover,,select * from landcover where landcover=1
Deciduous broadleaf landcover,yes,area,DeciduousBroadCover,,select * from landcover where landcover=2
Evergreen needleleaf landcover,yes,area,EvergreenForest,,select * from landcover where landcover=3
Deciduous needleleaf landcover,yes,area,DeciduousForest,,select * from landcover where landcover=4
Mixed forest landcover,yes,area,MixedForest,,select * from landcover where landcover=5
Heath landcover,yes,area,Heath,,select * from landcover where landcover=6
Scrub landcover,yes,area,Scrub,,select * from landcover where landcover=7
Grass landcover,yes,area,GrassCover,,select * from landcover where landcover=8
Savannah landcover,yes,area,Savannah,,select * from landcover where landcover=9
Barren landcover,yes,area,BarrenCover,,select * from landcover where landcover=10
Mixed crop landcover,yes,area,MixedCrop,,select * from landcover where landcover=11
Rice paddy landcover,yes,area,Rice,,select * from landcover where landcover=12
Grass crop landcover,yes,area,CropGrass,,select * from landcover where landcover=13
Mangrove landcover,yes,area,Mangrove,,select * from landcover where landcover=14
Wetland/Marsh landcover,yes,area,Marsh,,select * from landcover where landcover=15
Rock landcover,yes,area,Rock,,select * from landcover where landcover=16
Sand landcover,yes,area,Sand,,select * from landcover where landcover=17
Built-up landcover,yes,area,BuiltUpCover,,select * from landcover where landcover=18
Snow landcover,yes,area,SnowCover,,select * from landcover where landcover=19
Inland water landcover,no,area,Lake,,select * from landcover where landcover=20
