Description	Include	Type	Material	Line width	Query
lc-broadleaf-evergreen-forest	yes	area	EvergreenBroadCover	-	landcover=1
lc-broadleaf-deciduous-forest	yes	area	DeciduousBroadCover	-	landcover=2
lc-needleleaf-evergreen-forest	yes	area	EvergreenForest	-	landcover=3
lc-needleleaf-deciduous-forest	yes	area	DeciduousForest	-	landcover=4
lc-mixed-forest	yes	area	MixedForest	-	landcover=5
lc-tree-open	yes	area	Heath	-	landcover=6
lc-shrub	yes	area	Scrub	-	landcover=7
lc-herbaceous	yes	area	GrassCover	-	landcover=8
lc-herbaceous-tree-shrub	yes	area	SavannaCover	-	landcover=9
lc-sparse-vegetation	yes	area	BarrenCover	-	landcover=10
lc-cropland	yes	area	MixedCrop	-	landcover=11
lc-paddy-field	yes	area	Rice	-	landcover=12
lc-cropland-other-vegetation	yes	area	CropGrass	-	landcover=13
lc-mangrove	yes	area	Mangrove	-	landcover=14
lc-wetland	yes	area	Marsh	-	landcover=15
lc-gravel-rock	yes	area	Rock	-	landcover=16
lc-sand	yes	area	Sand	-	landcover=17
lc-urban	yes	area	BuiltUpCover	-	landcover=18
lc-snow-ice	yes	area	SnowCover	-	landcover=19
lc-water	no	area	Lake	-	landcover=20
